證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
8261,富鼎,202003  ,M2300,M2324,23G,23G5
8271,宇瞻,202003  ,M2300,M2324,23G,23G3B
8478,東哥遊艇,202003  ,M9900,M9900,22B,22B1
8422,可寧衛,202003  ,M9900,M9900,99L,99L2
8480,泰昇-KY,202003  ,M9900,M9900,14F,14F
8473,山林水,202003  ,M9900,M9900,99L,99L2
8499,鼎炫-KY,202003  ,M9900,M9900,23H,23H2
8482,商億-KY,202003  ,M9900,M9900,99B,99B
8488,吉源-KY,202003  ,M9900,M9900,20B,20B
9910,豐泰,202003  ,M9900,M9900,99K,99K
8215,明基材,202003  ,M2300,M2326,23C,23C8C
8222,寶一,202003  ,M1500,M1500,22B,22B3
8926,台汽電,202003  ,M9700,M9700,99D,99D3
9902,台火,202003  ,M9900,M9900,99Z,99ZC
9904,寶成,202003  ,M9900,M9900,99K,99K
8940,新天地,202003  ,M2700,M2700,27A,27A2
8996,高力,202003  ,M1500,M1500,20A,20A9
8341,日友,202003  ,M9900,M9900,99L,99L2
9105,泰金寶-DR,202003  ,M2300,M2300,23C,23C3
9905,大華,202003  ,M9900,M9900,20B,20B
8411,福貞-KY,202003  ,M9900,M9900,20B,20B
9906,欣巴巴,202003  ,M2500,M2500,25A,25A
9907,統一實,202003  ,M9900,M9900,20B,20B
8481,政伸,202003  ,M9900,M9900,99C,99C
9110,越南控-DR,202003  ,M2200,M2200,22B,22B2
911622,泰聚亨-DR,202003  ,M2000,M2000,20A,20A1
9802,鈺齊-KY,202003  ,M9900,M9900,99K,99K
9908,大台北,202003  ,M9700,M9700,99D,99D2
9911,櫻花,202003  ,M9900,M9900,99B,99B
9912,偉聯,202003  ,M2300,M2325,23C,23C1
9914,美利達,202003  ,M9900,M9900,99Z,99Z1
9917,中保科,202003  ,M9900,M9900,99I,99I
9918,欣天然,202003  ,M9700,M9700,99D,99D2
9919,康那香,202003  ,M9900,M9900,14F,14F
8462,柏文,202003  ,M2700,M2700,99Z,99ZX
8463,潤泰材,202003  ,M9900,M9900,11A,11A
8427,基勝-KY,202003  ,M9900,M9900,99B,99B
8429,金麗-KY,202003  ,M2900,M2900,99K,99K
9921,巨大,202003  ,M9900,M9900,99Z,99Z1
9924,福興,202003  ,M9900,M9900,99B,99B
9925,新保,202003  ,M9900,M9900,99I,99I
9926,新海,202003  ,M9700,M9700,99D,99D2
9927,泰銘,202003  ,M9900,M9900,20A,20A5
9928,中視,202003  ,M9900,M9900,99H,99H
9933,中鼎,202003  ,M9900,M9900,25C,25C
9934,成霖,202003  ,M9900,M9900,99B,99B
9935,慶豐富,202003  ,M9900,M9900,99B,99B
9940,信義,202003  ,M9900,M9900,25D,25D
9941,裕融,202003  ,M9900,M9900,28K,28K
9942,茂順,202003  ,M9900,M9900,15D,15D
9929,秋雨,202003  ,M9900,M9900,99C,99C
9930,中聯資源,202003  ,M9900,M9900,11C,11C
9931,欣高,202003  ,M9700,M9700,99D,99D2
9943,好樂迪,202003  ,M2700,M2700,27B,27B
9944,新麗,202003  ,M9900,M9900,14F,14F
9945,潤泰新,202003  ,M9900,M9900,25A,25A
9946,三發地產,202003  ,M2500,M2500,25A,25A
9955,佳龍,202003  ,M9900,M9900,99L,99L1
9958,世紀鋼,202003  ,M2000,M2000,20A,20A2
9937,全國,202003  ,M9700,M9700,99D,99D1
9938,百和,202003  ,M9900,M9900,14Z,14Z
9939,宏全,202003  ,M9900,M9900,13B,13B
1101,台泥,202103  ,M1100,M1100,11A,11A
